drama_id,tot_user_score,tot_watched,genre_id
a88aff33194c3804d091a0962cb318f009c4734fd6c3f1666e616156e70832b4,7.9,13098,0
a88aff33194c3804d091a0962cb318f009c4734fd6c3f1666e616156e70832b4,7.9,13098,1
a88aff33194c3804d091a0962cb318f009c4734fd6c3f1666e616156e70832b4,7.9,13098,2
a88aff33194c3804d091a0962cb318f009c4734fd6c3f1666e616156e70832b4,7.9,13098,3
c40001209622c610cb93d1a452fbdbaac4221c2c07e0383e23750533ae94d37e,8.0,44,4
b7dd543d9b210dc0bb76dea6b9d9f0f12c3f8a6a9ea5fc3acec48e30e98365a9,8.7,8523,5
b7dd543d9b210dc0bb76dea6b9d9f0f12c3f8a6a9ea5fc3acec48e30e98365a9,8.7,8523,6
b7dd543d9b210dc0bb76dea6b9d9f0f12c3f8a6a9ea5fc3acec48e30e98365a9,8.7,8523,3
b7dd543d9b210dc0bb76dea6b9d9f0f12c3f8a6a9ea5fc3acec48e30e98365a9,8.7,8523,7
d3430eca6f6bcbe87ec5ddf0ebe3e8e8103a6f692611c3a7ec11a8a68647180e,8.1,8224,8
d3430eca6f6bcbe87ec5ddf0ebe3e8e8103a6f692611c3a7ec11a8a68647180e,8.1,8224,2
d3430eca6f6bcbe87ec5ddf0ebe3e8e8103a6f692611c3a7ec11a8a68647180e,8.1,8224,6
d3430eca6f6bcbe87ec5ddf0ebe3e8e8103a6f692611c3a7ec11a8a68647180e,8.1,8224,9
cce259e20612fd4f91b0eedebee3010286d87d27df971ecdd15008e295fd70f9,8.5,27408,10
cce259e20612fd4f91b0eedebee3010286d87d27df971ecdd15008e295fd70f9,8.5,27408,1
cce259e20612fd4f91b0eedebee3010286d87d27df971ecdd15008e295fd70f9,8.5,27408,2
cce259e20612fd4f91b0eedebee3010286d87d27df971ecdd15008e295fd70f9,8.5,27408,11
8846b4c3e4a541c2bcdcba1fbc8eb962682dfd2b22267dc30008bc56141bb578,8.7,15403,10
8846b4c3e4a541c2bcdcba1fbc8eb962682dfd2b22267dc30008bc56141bb578,8.7,15403,12
8846b4c3e4a541c2bcdcba1fbc8eb962682dfd2b22267dc30008bc56141bb578,8.7,15403,3
05c19d64ff92f34717bc81b0431783cdb547bd51186557ebb37d0a2cc394acfd,7.5,5024,10
05c19d64ff92f34717bc81b0431783cdb547bd51186557ebb37d0a2cc394acfd,7.5,5024,0
05c19d64ff92f34717bc81b0431783cdb547bd51186557ebb37d0a2cc394acfd,7.5,5024,1
05c19d64ff92f34717bc81b0431783cdb547bd51186557ebb37d0a2cc394acfd,7.5,5024,3
acf58b578cd9e1ed33d29fb122d81e13ca2d126ace62bc26d3b718e88ab507c5,7.5,13300,2
acf58b578cd9e1ed33d29fb122d81e13ca2d126ace62bc26d3b718e88ab507c5,7.5,13300,6
c7ede44dd085f45b69db0b8acbc31cee8c52236fc6e1bece45cfe91ea40e5989,8.1,10109,1
c7ede44dd085f45b69db0b8acbc31cee8c52236fc6e1bece45cfe91ea40e5989,8.1,10109,2
c7ede44dd085f45b69db0b8acbc31cee8c52236fc6e1bece45cfe91ea40e5989,8.1,10109,6
c7ede44dd085f45b69db0b8acbc31cee8c52236fc6e1bece45cfe91ea40e5989,8.1,10109,3
bcb19f20e6a990a08bdfb58aa42829122f5e9224f646ea5d6719695d823c59e5,8.0,1254,1
bcb19f20e6a990a08bdfb58aa42829122f5e9224f646ea5d6719695d823c59e5,8.0,1254,3
efb130307a90a9ad85bbe53789a016814d2dfc2d4e92ab48049c6b7659f637e5,8.3,26806,0
efb130307a90a9ad85bbe53789a016814d2dfc2d4e92ab48049c6b7659f637e5,8.3,26806,1
efb130307a90a9ad85bbe53789a016814d2dfc2d4e92ab48049c6b7659f637e5,8.3,26806,3
d8efb4fac187b8a205e94c5fa0bf413428f36ad911492e2acd006d4ea6b94beb,6.8,68,9
d8efb4fac187b8a205e94c5fa0bf413428f36ad911492e2acd006d4ea6b94beb,6.8,68,3
43b0d5657cf4a8540ddd2a6dfb82334e9bb61407e54a7ddddbb88ca6f4f9005d,8.0,4653,1
43b0d5657cf4a8540ddd2a6dfb82334e9bb61407e54a7ddddbb88ca6f4f9005d,8.0,4653,3
43b0d5657cf4a8540ddd2a6dfb82334e9bb61407e54a7ddddbb88ca6f4f9005d,8.0,4653,13
43b0d5657cf4a8540ddd2a6dfb82334e9bb61407e54a7ddddbb88ca6f4f9005d,8.0,4653,11
b2c9103236006a006f467d65ea185fe81e0b1af9f91b6b8593f3618a4165e373,7.1,257,6
b2c9103236006a006f467d65ea185fe81e0b1af9f91b6b8593f3618a4165e373,7.1,257,9
4bb7fe58c17a8084790277d36d4cde59e0cee0bab7be48c0fc26bc78d087c05d,7.4,21548,2
4bb7fe58c17a8084790277d36d4cde59e0cee0bab7be48c0fc26bc78d087c05d,7.4,21548,6
